app_number,app_status,latitude,longitude
09/00169/OT,W,53.8310606863224,-1.58681414585219
08/06932/ADV,NR,53.7976586592015,-1.54390459398032
09/00189/ADV,A,53.8000166370055,-1.55916795019777
09/00190/ADV,A,53.7721265628443,-1.53299904938932
09/00184/COND,A,53.798519743141,-1.37925978270851
09/00140/COND,R,53.8275790186321,-1.52516638348977
09/00076/COND,SPL,53.8064171808373,-1.53330159248224
09/00192/FU,R,53.7923059934418,-1.38742724397199
09/00201/FU,A,53.7596833571639,-1.60175746118889
09/00211/FU,A,53.9005215387336,-1.34807196510497
09/00194/FU,A,53.7963316710352,-1.66164987916865
09/00209/FU,A,53.8149556615971,-1.43689909288369
09/00210/FU,R,53.8683571391474,-1.70810558228454
08/06964/FU,A,53.8242457863124,-1.58104766480265
09/00198/FU,A,53.837530693047,-1.340981068565
08/06924/FU,A,53.9059532525193,-1.42429111803061
08/06923/RM,A,53.8964185209646,-1.43215270058239
08/06925/RM,A,53.9059532525193,-1.42429111803061
09/00217/ADV,A,53.7961717803414,-1.53819737916812
09/00145/ADV,A,53.8061573226095,-1.66548851385288
09/00193/ADV,R,53.8281321161561,-1.55943513379291
09/00186/COND,SPL,53.7898189213295,-1.65972898914423
09/00236/FU,A,53.8788861676362,-1.45218004904006
09/00220/FU,A,53.8956796549106,-1.3485581737696
09/00231/FU,A,53.8180944380043,-1.50897553163134
09/00223/FU,A,53.9048462980784,-1.69305711155039
08/06993/FU,R,53.8961387891645,-1.43573261716006
09/00066/FU,R,53.8736901396222,-1.73264660531409
09/00222/FU,R,53.7887538337524,-1.67763307496345
08/04907/FU,A,53.8599080746619,-1.69349224041306
09/00232/FU,W,53.846485539395,-1.6886048133769
09/00228/FU,A,53.7706039722676,-1.44559443656764
09/00224/FU,A,53.8266917648216,-1.50576063083283
09/00248/FU,A,53.8311997711237,-1.59598989360637
09/00235/FU,A,53.8804487864938,-1.61084901138836
09/00011/FU,A,53.8129847090311,-1.59438805035384
09/00216/FU,A,53.8112349916306,-1.47259228722702
08/04901/LI,A,53.8599080746619,-1.69349224041306
09/00214/LI,A,53.8112349916306,-1.47259228722702
09/00230/ADV,A,53.7988125396452,-1.54480301404236
09/00087/COND,A,53.750358055622,-1.63711869264048
09/00085/COND,A,53.8803326747913,-1.45403220099341
09/00246/COND,A,53.7500820183765,-1.47922687693445
09/00267/FU,A,53.8397958386791,-1.6219244740395
08/06625/FU,A,53.8133591761678,-1.62381769064361
08/06902/FU,A,53.8056335573405,-1.69141280995145
09/00244/FU,A,53.7414204373098,-1.59133214728246
09/00247/FU,A,53.7376545466811,-1.41187189317251
08/06909/FU,A,53.8056335573405,-1.69141280995145
09/00114/FU,A,53.8339051386036,-1.56264148895655
09/00041/FU,A,53.8525699168101,-1.59237908372927
09/00253/FU,A,53.7917443569952,-1.61854630930596
09/00136/FU,R,53.8519234466834,-1.47252199166163
08/06433/FU,A,53.7431095851686,-1.59913941410637
08/06945/FU,R,53.8386541734507,-1.42677947071902
09/00249/LA,A,53.7923627338803,-1.57520220711213
09/00255/ADV,A,53.7682326498452,-1.55370539253198
09/00270/CA,A,53.9019095251786,-1.68696038280271
09/00265/COND,A,53.7937409917811,-1.54895659935695
09/00272/FU,R,53.8087531840984,-1.66168661442206
09/00275/FU,A,53.8424581516017,-1.54239986423826
08/06976/FU,A,53.8531037779518,-1.52036271825679
09/00254/FU,A,53.8029361081454,-1.69451487604753
08/05910/FU,R,53.7989425670531,-1.37759866056699
09/00269/FU,A,53.9019095251786,-1.68696038280271
09/00061/FU,A,53.8460918915986,-1.65009282816141
09/00227/FU,A,53.8220663689095,-1.52440838360131
09/9/00029/MOD,M01,53.748467484572,-1.47586523741125
09/00282/ADV,A,53.7981904712328,-1.54667713176867
09/00277/COND,A,53.796890490022,-1.54280467243514
09/00289/COND,R,53.7989615533129,-1.46542834177524
09/00294/FU,A,53.7712418168956,-1.54365979892061
09/00296/FU,A,53.7471157680216,-1.50464742316648
09/00279/FU,A,53.9316902483259,-1.39772540349843
08/06297/FU,A,53.8906098597235,-1.67940662670627
09/00292/FU,A,53.8594696281142,-1.69781340279691
08/06694/FU,A,53.8551696660002,-1.59303795347348
09/00284/FU,A,53.8192625855156,-1.57483922925797
08/05681/FU,R,53.8500648391708,-1.68254359913678
08/06757/FU,W,53.8184245491296,-1.45826963001766
08/06900/FU,A,53.799872998506,-1.5400545640923
09/00073/FU,A,53.9206552097642,-1.40718756098569
09/00287/COND,A,53.8224198077297,-1.60447477262948
09/00221/COND,A,53.7983805555015,-1.54465586873929
09/00298/COND,A,53.8084777459265,-1.55279235893141
09/00309/COND,A,53.9051960261381,-1.64087798912092
08/04061/COND,A,53.8405428331726,-1.63978972843473
08/06738/FU,A,53.7671623451622,-1.37277394253885
08/06414/FU,A,53.7462088760329,-1.48147342480989
09/00115/FU,A,53.776620385441,-1.61945724679556
09/00307/FU,R,53.8273732793048,-1.57583583023207
09/00240/FU,A,53.7662592720546,-1.58746540240386
